epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1085.8,0.63591,2.22165,1.13217,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001387,0.0001387,0.0001387
89,1098.21,0.61838,2.34839,1.12173,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001288,0.0001288,0.0001288
90,1111.3,0.74882,2.50847,1.23356,0.95085,1,0.995,0.995,0.25226,1.82783,0.86937,0.0001189,0.0001189,0.0001189
91,1124.15,0.39254,2.62222,1.03408,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,0.000109,0.000109,0.000109
92,1137.51,0.56047,2.90745,0.98382,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,9.91e-05,9.91e-05,9.91e-05
93,1150.67,0.46088,2.6705,0.99015,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,8.92e-05,8.92e-05,8.92e-05
94,1163.79,0.53553,2.83041,0.96593,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,7.93e-05,7.93e-05,7.93e-05
95,1177.38,0.4164,2.5613,0.72887,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,6.94e-05,6.94e-05,6.94e-05
96,1189.65,0.48847,3.1098,1.07353,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,5.95e-05,5.95e-05,5.95e-05
97,1201.78,0.70692,3.09599,1.12354,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,4.96e-05,4.96e-05,4.96e-05
98,1213.92,0.4552,2.74222,1.1534,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,3.97e-05,3.97e-05,3.97e-05
99,1226.06,0.52834,3.00763,1.09986,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,2.98e-05,2.98e-05,2.98e-05
100,1238.17,0.53216,3.16246,0.93954,0.9347,1,0.995,0.995,0.27061,1.8015,0.87256,1.99e-05,1.99e-05,1.99e-05
